timestamp,strategy,session_id,competition_id,competition_name,question_number,question_id,level,question_text,options_json,chosen_option_id,chosen_option_text,time_remaining_before,decision_latency_seconds,submit_latency_seconds,total_latency_seconds,earned_before,correct,timed_out,game_over,earned_after,result_status,current_level_after,reached_level,error_message
2026-04-27T18:14:18,first_option,5952,2,Science and Nature,1,5705,1,A scientist wanting to document a change in a river's flow pattern should observe a river over a period of,"[{""id"": 0, ""text"": ""years.""}, {""id"": 1, ""text"": ""weeks.""}, {""id"": 2, ""text"": ""months.""}, {""id"": 3, ""text"": ""days.""}]",0,years.,31.264654,1.0999938240274787e-06,0.06115270000009332,0.061153799993917346,0,True,False,False,100,,2,,
2026-04-27T18:14:18,first_option,5952,2,Science and Nature,2,6097,2,Which structure best protects a cactus from being eaten by animals?,"[{""id"": 0, ""text"": ""waxy coating on the stem""}, {""id"": 1, ""text"": ""sharp spines as the leaves""}, {""id"": 2, ""text"": ""green pigment in the cells""}, {""id"": 3, ""text"": ""long roots near the surface""}]",0,waxy coating on the stem,31.280188,1.100008375942707e-06,0.06730589999642689,0.06730700000480283,100,False,False,True,100,,,1,
2026-04-27T18:14:27,first_option,5953,2,Science and Nature,1,4930,1,"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will","[{""id"": 0, ""text"": ""melt at -95°C.""}, {""id"": 1, ""text"": ""boil at 47.5°C.""}, {""id"": 2, ""text"": ""melt at -47.5°C.""}, {""id"": 3, ""text"": ""boil at 95°C.""}]",0,melt at -95°C.,31.269374,1.3999961083754897e-06,0.06430330000875983,0.06430470000486821,0,True,False,False,100,,2,,
2026-04-27T18:14:27,first_option,5953,2,Science and Nature,2,5844,2,Which is a reason for Arkansas having multiple seasons?,"[{""id"": 0, ""text"": ""the speed of Earth's orbit""}, {""id"": 1, ""text"": ""the tilt of Earth's axis""}, {""id"": 2, ""text"": ""Earth gravitational pull toward the Moon""}, {""id"": 3, ""text"": ""Earth's distance from the Sun""}]",0,the speed of Earth's orbit,31.28462,1.00000761449337e-06,0.06111369999416638,0.061114700001780875,100,False,False,True,100,,,1,
2026-04-27T18:14:28,first_option,5954,2,Science and Nature,1,2901,1,Silica sand is a resource used in large volume in Nevada. This resource is used to make which product?,"[{""id"": 0, ""text"": ""plastic""}, {""id"": 1, ""text"": ""electricity""}, {""id"": 2, ""text"": ""glass""}, {""id"": 3, ""text"": ""tar""}]",0,plastic,31.265363,2.2000021999701858e-06,0.07310819999838714,0.0731104000005871,0,False,False,True,0,,,0,
2026-04-27T18:14:29,first_option,5955,2,Science and Nature,1,3528,1,"Some students were on a tour exploring the inside of a cave. While the students were in the cave, they realized they heard an echo every time that they spoke. Which most likely caused the echo to occur?","[{""id"": 0, ""text"": ""the reflection of the sound waves""}, {""id"": 1, ""text"": ""the refraction of the sound waves""}, {""id"": 2, ""text"": ""the accumulation of the sound waves""}, {""id"": 3, ""text"": ""the diffraction of the sound waves""}]",0,the reflection of the sound waves,31.278385,1.0999938240274787e-06,0.0833588000095915,0.08335990000341553,0,True,False,False,100,,2,,
2026-04-27T18:14:29,first_option,5955,2,Science and Nature,2,5338,2,Which human activity contributes to the formation of acid rain?,"[{""id"": 0, ""text"": ""using chemicals that destroy ozone in the stratosphere""}, {""id"": 1, ""text"": ""using too much fertilizer in agriculture""}, {""id"": 2, ""text"": ""burning fossil fuels such as coal and gasoline""}, {""id"": 3, ""text"": ""cutting down large areas of tropical forests""}]",0,using chemicals that destroy ozone in the stratosphere,31.267205,1.0999938240274787e-06,0.06934289999480825,0.06934399998863228,100,False,False,True,100,,,1,
2026-04-27T18:14:29,first_option,5956,2,Science and Nature,1,1561,1,Which of the following is a traditional use of annatto outside of culinary applications?,"[{""id"": 0, ""text"": ""To improve soil fertility""}, {""id"": 1, ""text"": ""As a natural pesticide""}, {""id"": 2, ""text"": ""For ritual and decorative body painting""}, {""id"": 3, ""text"": ""As a food preservative""}]",0,To improve soil fertility,31.257812,1.3999961083754897e-06,0.06808150000870228,0.06808290000481065,0,False,False,True,0,,,0,
2026-04-27T18:14:31,first_option,5957,2,Science and Nature,1,3243,1,Which involves the greatest variety of cell types?,"[{""id"": 0, ""text"": ""an organ system""}, {""id"": 1, ""text"": ""an organ""}, {""id"": 2, ""text"": ""an organism""}, {""id"": 3, ""text"": ""a tissue""}]",0,an organ system,31.267245,7.00005330145359e-07,0.07988609999301843,0.07988679999834858,0,False,False,True,0,,,0,
2026-04-27T18:14:32,first_option,5958,2,Science and Nature,1,4450,1,Tides occur in the oceans at regular times every day because of,"[{""id"": 0, ""text"": ""the tilt of Earth's rotational axis.""}, {""id"": 1, ""text"": ""upper atmospheric disturbances.""}, {""id"": 2, ""text"": ""density differences caused by temperature changes.""}, {""id"": 3, ""text"": ""the gravitational pull of the Sun and the Moon.""}]",0,the tilt of Earth's rotational axis.,31.269957,8.00006091594696e-07,0.07859380000445526,0.07859460001054686,0,False,False,True,0,,,0,
2026-04-27T18:14:32,first_option,5959,2,Science and Nature,1,4050,1,Which event is an example of conduction?,"[{""id"": 0, ""text"": ""Boiling water in a pot warms a spoon inside the pot.""}, {""id"": 1, ""text"": ""Sunlight travels from the Sun to warm Earth.""}, {""id"": 2, ""text"": ""Cold water is heated in a microwave oven.""}, {""id"": 3, ""text"": ""A fire in a fireplace warms the air in a room.""}]",0,Boiling water in a pot warms a spoon inside the pot.,31.269944,8.00006091594696e-07,0.0669348999945214,0.066935700000613,0,True,False,False,100,,2,,
2026-04-27T18:14:32,first_option,5959,2,Science and Nature,2,5658,2,Sally is making candy on the stove. She places a thermometer in the candy. What is she measuring?,"[{""id"": 0, ""text"": ""weight""}, {""id"": 1, ""text"": ""length""}, {""id"": 2, ""text"": ""speed""}, {""id"": 3, ""text"": ""temperature""}]",0,weight,31.270202,5.00003807246685e-07,0.07504349999362603,0.07504399999743327,100,False,False,True,100,,,1,
2026-04-27T18:14:33,first_option,5960,2,Science and Nature,1,2394,1,Which of the following best describes Poisson's ratio?,"[{""id"": 0, ""text"": ""The ratio of axial strain to axial stress""}, {""id"": 1, ""text"": ""The ratio of axial stress to transverse strain""}, {""id"": 2, ""text"": ""The ratio of transverse strain to axial strain""}, {""id"": 3, ""text"": ""The ratio of transverse stress to axial strain""}]",0,The ratio of axial strain to axial stress,31.276257,7.999915396794677e-07,0.05679550000058953,0.05679629999212921,0,False,False,True,0,,,0,
2026-04-27T18:14:34,first_option,5961,2,Science and Nature,1,5779,1,Certain fossils can be used to help determine the age of the rock layer in which the fossils are found. Which type of fossil is best to use when making this determination?,"[{""id"": 0, ""text"": ""swamp fern fossil""}, {""id"": 1, ""text"": ""index fossil""}, {""id"": 2, ""text"": ""trace fossil""}, {""id"": 3, ""text"": ""marine mammal fossil""}]",0,swamp fern fossil,31.269969,1.200009137392044e-06,0.08757109999714885,0.08757230000628624,0,False,False,True,0,,,0,
2026-04-27T18:14:35,first_option,5962,2,Science and Nature,1,3044,1,"A researcher's plan is to place five fish in separate tanks, give them the same amount of food each day, and keep the temperature the same. One fish will be exposed to artificial light for 24 hours each day, while the others will have light for 22 hours and then no light for 2 hours each day. Which is the control for this experiment?","[{""id"": 0, ""text"": ""the separate tanks""}, {""id"": 1, ""text"": ""the fish deprived of light""}, {""id"": 2, ""text"": ""the amount of food""}, {""id"": 3, ""text"": ""the fish exposed to light for 24 hours""}]",0,the separate tanks,31.266222,7.999915396794677e-07,0.07946810001158156,0.07946890000312123,0,False,False,True,0,,,0,
